Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
3/22/2012,0,0,1,0,0,0,0,0,0,1,0,1
3/23/2012,0,0,1,0,1,0,0,0,0,0,0,1
3/24/2012,0,0,0,0,0,0,0,0,0,0,0,1
3/25/2012,0,1,0,1,0,0,0,0,0,0,0,0
3/26/2012,0,1,0,2,0,0,0,1,0,0,0,0
3/27/2012,1,0,1,1,0,0,0,1,0,0,0,0
3/28/2012,0,1,0,1,3,0,0,0,0,1,0,0
3/29/2012,1,3,0,0,0,0,0,0,1,3,0,0
3/30/2012,1,0,0,1,0,0,0,1,0,1,0,1
3/31/2012,2,1,2,0,0,1,0,0,0,0,0,0
4/1/2012,0,1,0,0,0,1,0,0,0,0,0,0
4/2/2012,0,0,0,0,0,0,0,0,2,1,0,0
4/3/2012,7,0,3,0,0,0,0,0,0,0,0,1
4/4/2012,3,0,2,0,2,0,0,0,2,0,0,1
4/5/2012,3,1,3,0,0,0,0,0,1,1,0,0
4/6/2012,4,1,3,0,0,0,0,0,1,0,0,0
4/7/2012,0,0,0,0,0,0,0,0,1,0,0,0
4/8/2012,1,1,0,0,1,0,0,0,0,0,0,0
4/9/2012,0,0,0,0,3,1,0,1,4,0,0,1
4/10/2012,2,0,0,1,2,0,0,0,0,0,0,1
4/11/2012,1,0,0,0,1,1,0,0,0,0,0,1
4/12/2012,0,1,0,0,0,0,0,0,0,0,0,1
4/13/2012,0,0,0,0,0,0,0,0,0,0,0,1
4/14/2012,0,0,0,0,0,0,0,0,0,0,0,1
4/15/2012,1,0,1,0,0,0,0,0,0,1,0,0
4/16/2012,0,0,0,0,0,0,0,0,0,0,0,1
4/17/2012,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2012,0,1,0,0,0,0,0,0,0,0,0,0
4/19/2012,0,0,0,0,0,0,0,0,0,0,0,1
4/20/2012,0,2,0,0,0,0,0,0,0,0,0,1
4/21/2012,0,0,0,0,0,0,0,0,0,0,0,0
4/22/2012,0,0,0,0,0,0,0,0,0,0,0,2
4/23/2012,0,0,0,0,2,1,0,0,1,1,0,0
4/24/2012,0,0,0,0,0,0,0,0,1,0,0,0
4/25/2012,0,0,0,0,0,0,0,0,0,0,0,0
4/26/2012,0,0,0,0,0,0,0,0,2,0,0,0
4/27/2012,0,0,0,0,0,0,0,0,2,1,0,1
4/28/2012,0,0,0,1,1,0,0,0,1,0,0,2
4/29/2012,0,0,0,0,0,0,0,0,0,0,0,1
4/30/2012,0,0,0,0,0,0,0,0,0,1,0,0
5/1/2012,0,0,0,0,0,0,0,0,1,2,0,3
5/2/2012,0,0,0,0,2,1,0,1,2,0,0,0
5/3/2012,5,0,0,0,0,2,0,0,1,1,0,1
5/4/2012,3,0,0,0,1,1,0,0,1,2,0,0
5/5/2012,0,0,0,0,0,0,1,0,0,0,0,0
5/6/2012,0,1,0,0,1,2,0,0,0,3,0,3
5/7/2012,1,0,0,0,1,0,0,0,0,1,0,2
5/8/2012,0,0,0,0,1,0,0,0,0,0,0,0
5/9/2012,0,0,0,0,0,0,0,0,0,2,0,1
5/10/2012,0,1,0,0,1,0,0,0,0,0,0,1
5/11/2012,0,0,0,0,1,0,0,0,0,0,0,1
5/12/2012,0,0,0,1,0,0,0,0,0,0,0,0
5/13/2012,0,0,0,0,1,0,0,0,0,1,1,0
5/14/2012,0,0,0,0,0,1,0,0,0,1,0,1
5/15/2012,0,0,0,0,4,1,0,0,3,1,0,1
5/16/2012,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2012,0,0,0,1,1,0,0,0,2,1,0,1
5/18/2012,0,0,0,0,0,0,0,0,1,0,0,1
5/19/2012,1,0,0,0,0,0,0,0,1,0,0,1
5/20/2012,0,0,0,0,0,2,0,0,0,0,0,0
5/21/2012,0,0,0,0,8,0,0,0,3,3,0,0
5/22/2012,0,0,0,1,2,0,2,0,4,1,0,1
5/23/2012,1,0,0,0,1,1,0,0,2,0,0,1
5/24/2012,0,0,0,3,8,1,0,0,2,1,1,0
5/25/2012,0,0,0,0,8,0,0,0,5,1,0,0
5/26/2012,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2012,0,0,0,0,0,0,0,0,0,0,0,1
5/28/2012,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2012,5,0,2,7,18,3,0,1,7,7,0,3
5/30/2012,0,0,1,2,3,0,0,0,2,0,0,3
5/31/2012,1,0,0,0,0,0,0,1,0,1,1,0
6/1/2012,1,1,0,2,2,0,0,0,0,0,0,0
6/2/2012,0,0,0,1,0,0,0,0,0,1,0,0
6/3/2012,0,0,0,1,0,0,0,0,1,0,0,0
6/4/2012,0,0,0,0,0,0,0,0,1,1,0,0
6/5/2012,0,0,0,0,0,0,0,0,2,0,0,1
6/6/2012,1,0,2,0,0,0,0,0,1,0,0,2
6/7/2012,0,2,0,0,0,0,0,0,1,4,0,1
6/8/2012,0,0,0,0,1,0,0,0,2,2,0,0
6/9/2012,0,0,0,0,0,0,0,0,0,0,0,0
6/10/2012,0,0,0,1,0,0,0,0,0,1,0,0
6/11/2012,0,0,0,0,0,0,0,0,0,1,0,0
6/12/2012,0,0,0,0,1,0,0,0,0,2,0,2
6/13/2012,0,0,0,0,1,0,0,1,0,0,0,2
6/14/2012,1,0,0,0,0,0,0,0,0,1,0,2
6/15/2012,2,0,0,0,0,0,0,0,0,0,0,0
6/16/2012,0,0,0,0,0,0,0,0,0,1,0,1
6/17/2012,0,0,0,0,0,0,0,0,0,0,0,0
6/18/2012,0,0,0,0,0,0,0,0,0,1,0,2
6/19/2012,0,0,0,0,0,0,1,0,0,1,0,1
6/20/2012,0,1,0,0,3,0,0,0,0,1,0,1
6/21/2012,0,1,0,0,0,0,0,0,0,2,0,3
6/22/2012,15,4,3,9,23,3,10,4,19,8,1,9
6/23/2012,0,1,0,0,4,0,1,0,0,1,0,2
6/24/2012,0,1,1,0,2,0,0,0,0,2,0,1
6/25/2012,2,0,0,2,14,0,1,0,5,3,0,2
6/26/2012,1,2,0,1,6,0,0,0,2,1,0,1
6/27/2012,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2012,0,1,0,1,2,0,0,0,0,0,0,4
6/29/2012,5,0,0,0,0,1,0,0,0,0,0,1
6/30/2012,2,0,0,0,1,0,0,0,0,0,0,0
7/1/2012,0,0,0,0,1,1,0,0,0,0,1,2
7/2/2012,0,0,0,0,1,0,0,0,0,0,0,0
7/3/2012,0,0,0,0,0,0,0,0,0,0,0,0
7/4/2012,1,0,0,0,0,0,0,0,0,0,0,0
7/5/2012,0,0,0,0,1,0,0,0,0,1,0,1
7/6/2012,0,0,0,0,1,0,0,0,0,0,0,0
7/7/2012,0,0,0,1,0,0,1,0,0,0,0,0
7/8/2012,1,1,0,0,0,0,0,0,0,0,0,2
7/9/2012,0,0,0,0,1,0,0,0,0,2,0,2
7/10/2012,0,2,0,0,2,0,0,0,0,0,0,4
7/11/2012,0,0,0,0,0,0,0,0,1,1,0,1
7/12/2012,0,0,0,0,0,0,0,0,0,2,0,1
7/13/2012,0,0,0,0,0,1,0,0,0,1,0,2
7/14/2012,0,0,0,1,0,0,0,0,0,1,1,1
7/15/2012,0,0,0,5,8,1,0,1,1,1,1,7
7/16/2012,0,1,0,3,4,0,3,0,0,0,1,2
7/17/2012,0,0,0,0,2,0,0,0,1,0,0,1
7/18/2012,11,2,0,7,18,3,7,2,14,4,0,14
7/19/2012,1,1,0,1,4,0,0,0,1,0,0,6
7/20/2012,0,0,2,1,1,1,0,0,2,1,0,4
7/21/2012,1,0,0,0,0,0,0,0,0,0,0,1
7/22/2012,0,0,0,0,0,2,0,0,1,0,0,0
7/23/2012,0,0,1,3,10,1,0,0,4,2,0,2
7/24/2012,0,0,0,0,4,2,0,0,2,1,0,2
7/25/2012,0,0,0,0,0,0,1,0,0,0,0,2
7/26/2012,12,1,1,2,19,2,3,0,18,5,1,6
7/27/2012,2,0,1,1,9,0,1,0,2,2,0,3
7/28/2012,1,0,2,8,3,1,2,3,2,1,0,4
7/29/2012,4,0,0,0,0,0,2,0,0,0,0,2
7/30/2012,2,0,0,0,1,0,1,0,0,1,0,0
7/31/2012,0,0,0,0,10,4,0,0,3,1,0,2
8/1/2012,2,1,0,5,7,0,0,1,5,3,0,2
8/2/2012,1,1,1,0,1,0,0,0,1,1,0,4
8/3/2012,1,0,0,0,0,0,1,1,0,1,0,2
8/4/2012,3,0,1,1,0,1,0,0,0,3,0,3
8/5/2012,4,0,0,3,10,1,2,0,3,1,0,7
8/6/2012,0,0,0,2,2,0,0,0,3,1,0,2
8/7/2012,0,0,0,0,0,0,0,0,1,0,0,0
8/8/2012,1,0,0,0,2,0,0,0,0,0,0,1
8/9/2012,7,0,0,1,20,2,1,2,13,4,0,4
8/10/2012,6,0,1,11,21,3,2,1,14,3,2,6
8/11/2012,0,1,1,0,0,0,1,0,0,0,0,1
8/12/2012,1,0,0,1,0,0,0,0,0,0,0,1
8/13/2012,2,1,0,0,0,0,0,0,0,1,0,2
8/14/2012,0,0,0,1,0,0,0,0,0,1,0,13
8/15/2012,2,0,1,3,5,0,0,0,1,2,0,4
8/16/2012,1,0,1,0,0,1,0,0,0,1,0,2
8/17/2012,0,0,0,0,1,0,1,0,0,0,0,1
8/18/2012,0,0,0,0,1,0,0,0,0,0,0,2
8/19/2012,1,0,1,0,0,0,0,0,0,0,0,0
8/20/2012,0,0,0,0,1,0,0,0,0,3,0,1
8/21/2012,1,0,0,0,0,0,0,0,0,0,0,3
8/22/2012,1,0,0,0,0,0,0,0,0,0,0,1
8/23/2012,0,0,0,0,0,0,0,0,0,1,0,1
8/24/2012,0,0,0,0,1,0,0,0,0,0,0,2
8/25/2012,0,0,0,0,0,0,0,0,0,0,0,0
8/26/2012,7,7,2,1,0,0,0,0,0,0,0,1
8/27/2012,5,2,1,1,7,0,0,0,0,1,0,5
8/28/2012,1,0,0,0,2,0,0,0,3,0,0,3
8/29/2012,0,1,0,0,0,0,0,0,3,0,0,2
8/30/2012,1,0,0,0,0,0,0,0,3,0,0,1
8/31/2012,0,0,0,0,0,0,0,0,1,0,0,1
9/1/2012,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2012,1,0,2,0,0,0,1,0,0,0,0,0
9/3/2012,0,2,0,1,0,0,0,0,0,0,0,0
9/4/2012,5,1,0,2,15,1,1,0,9,2,0,1
9/5/2012,0,0,0,3,9,1,0,0,0,0,0,1
9/6/2012,2,0,0,0,1,0,0,0,2,1,0,1
9/7/2012,2,0,1,0,0,0,0,0,0,1,1,0
9/8/2012,3,0,0,2,2,1,0,1,7,0,0,0
9/9/2012,1,0,1,0,0,0,0,1,1,1,0,0
9/10/2012,3,0,0,0,1,0,0,1,0,1,0,1
9/11/2012,1,1,1,0,0,0,0,1,0,0,0,0
9/12/2012,1,0,0,0,0,0,0,0,2,0,1,0
9/13/2012,0,0,0,0,0,0,0,0,0,1,0,0
9/14/2012,1,0,0,0,0,0,0,0,0,0,1,0
9/15/2012,0,1,0,0,0,0,0,0,1,0,0,0
9/16/2012,4,0,0,0,0,0,0,0,0,0,0,0
9/17/2012,6,2,1,0,0,0,0,0,0,1,0,0
9/18/2012,2,0,2,4,6,1,0,0,0,1,0,3
9/19/2012,2,1,0,1,3,0,0,0,1,1,0,3
9/20/2012,1,0,1,0,0,0,0,0,0,0,0,1
9/21/2012,3,0,0,0,0,0,0,0,0,0,0,1
9/22/2012,2,0,0,0,0,0,0,0,0,0,0,1
9/23/2012,4,0,0,0,0,0,0,0,0,1,0,0
9/24/2012,5,1,2,0,1,0,0,0,0,1,0,0
9/25/2012,4,1,1,0,0,0,0,0,1,1,0,0
9/26/2012,2,1,0,0,0,0,0,0,0,1,0,3
9/27/2012,2,0,0,0,0,0,0,0,1,0,0,2
9/28/2012,2,0,1,0,0,0,0,0,2,0,0,4
9/29/2012,0,0,1,0,0,0,0,0,0,1,0,0
9/30/2012,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2012,3,0,0,0,0,0,0,0,0,1,0,0
10/2/2012,2,1,0,0,0,0,1,0,0,1,0,0
10/3/2012,3,0,1,0,9,0,0,1,0,0,1,0
10/4/2012,1,1,1,0,0,0,0,0,1,0,0,1
10/5/2012,1,2,1,0,0,0,0,0,1,0,0,2
10/6/2012,0,1,1,0,0,0,0,0,1,0,0,1
10/7/2012,1,3,1,0,1,0,0,0,0,0,0,0
10/8/2012,0,1,0,0,1,0,0,0,0,0,0,0
10/9/2012,2,0,0,0,0,0,0,0,0,1,0,0
10/10/2012,0,1,0,0,2,0,0,0,0,1,0,0
10/11/2012,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2012,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2012,0,0,0,0,0,0,0,0,0,0,0,1
10/14/2012,0,0,0,0,3,1,0,0,0,1,0,0
10/15/2012,0,0,0,2,0,0,0,0,0,0,0,1
10/16/2012,0,0,0,0,1,0,0,0,0,0,0,0
10/17/2012,0,0,0,0,1,0,0,0,0,0,0,0
10/18/2012,0,0,0,0,1,0,0,0,0,0,0,2
10/19/2012,0,0,0,1,0,1,0,0,0,0,0,0
10/20/2012,0,0,0,3,1,0,0,0,0,0,0,0
10/21/2012,1,0,0,0,0,0,0,0,0,0,0,0
10/22/2012,0,0,0,0,0,0,0,0,0,0,0,0
10/23/2012,0,0,0,0,0,0,0,0,0,1,0,0
10/24/2012,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2012,0,1,0,0,0,0,0,0,0,0,0,1
10/26/2012,0,0,0,0,2,0,0,0,0,1,0,1
10/27/2012,0,0,0,1,0,0,0,0,1,0,0,1
10/28/2012,15,14,4,6,21,2,20,5,21,13,10,69
10/29/2012,46,35,10,19,52,8,63,16,77,26,13,134
10/30/2012,46,35,9,19,52,7,60,13,76,23,12,120
10/31/2012,46,24,9,19,52,7,8,8,69,21,1,80
11/1/2012,0,0,0,0,16,1,0,0,3,6,0,12
11/2/2012,1,0,0,0,2,0,0,0,0,1,1,3
11/3/2012,0,0,0,0,0,0,0,0,1,0,0,1
11/4/2012,1,0,1,0,0,0,0,0,0,0,0,0
11/5/2012,1,0,1,0,0,0,0,0,0,0,0,1
11/6/2012,1,1,0,0,1,0,0,0,1,0,0,2
11/7/2012,33,31,7,15,38,5,21,7,35,24,11,93
11/8/2012,0,0,0,2,6,1,10,0,5,3,0,23
11/9/2012,1,0,0,0,0,0,0,0,0,0,0,1
11/10/2012,0,0,0,0,0,0,1,0,0,1,0,0
11/11/2012,1,0,1,1,0,0,0,0,0,0,0,1
11/12/2012,0,0,0,2,9,0,0,0,0,1,0,0
11/13/2012,1,0,0,0,2,0,0,0,0,0,0,1
11/14/2012,0,0,0,0,0,0,0,0,1,0,0,0
11/15/2012,0,0,0,0,0,0,0,0,0,1,0,2
11/16/2012,0,1,0,0,0,0,0,0,0,0,0,1
11/17/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/18/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2012,1,0,0,0,3,0,0,0,0,1,0,0
11/20/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2012,0,0,0,0,0,1,0,0,0,0,0,0
11/22/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/23/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/24/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/25/2012,1,0,0,0,0,0,0,0,0,0,0,0
11/26/2012,0,0,0,0,0,0,0,0,0,0,0,0
11/27/2012,1,0,0,0,0,0,0,0,7,0,0,1
11/28/2012,1,0,1,2,0,0,0,0,0,0,0,1
11/29/2012,0,1,0,0,0,0,0,0,0,0,0,0
11/30/2012,0,0,0,0,0,0,0,0,0,0,0,2
12/1/2012,0,1,1,0,0,0,1,1,0,0,0,2
12/2/2012,0,0,0,1,0,0,0,0,0,0,0,0
12/3/2012,0,0,0,0,1,0,0,0,0,1,0,0
12/4/2012,0,1,0,1,0,0,0,0,0,0,0,2
12/5/2012,0,2,1,0,2,0,0,0,0,0,0,3
12/6/2012,0,0,0,0,0,0,0,0,0,0,1,1
12/7/2012,0,0,1,0,0,0,0,0,0,2,0,2
12/8/2012,0,0,1,0,0,0,0,0,0,0,0,0
12/9/2012,0,0,0,0,1,0,0,1,0,0,0,1
12/10/2012,1,2,1,4,2,0,0,0,0,1,0,2
12/11/2012,0,0,0,0,0,0,0,0,0,0,0,1
12/12/2012,0,1,0,0,0,0,0,0,0,0,0,3
12/13/2012,0,1,0,0,0,0,0,0,0,0,0,0
12/14/2012,1,1,1,0,0,0,0,0,0,0,0,0
12/15/2012,0,1,1,0,0,0,0,0,0,0,0,0
12/16/2012,0,0,0,0,0,0,0,0,0,0,0,1
12/17/2012,2,0,0,1,9,0,0,0,0,2,0,1
12/18/2012,0,1,0,0,0,0,0,0,0,1,0,0
12/19/2012,0,0,0,0,0,0,0,0,0,2,0,1
12/20/2012,4,1,0,0,0,2,0,0,1,1,0,3
12/21/2012,3,0,2,2,4,2,0,0,0,0,0,1
12/22/2012,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2012,0,0,0,0,0,0,0,0,0,0,0,3
12/24/2012,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2012,1,0,1,0,0,0,0,0,0,0,0,4
12/26/2012,12,6,4,4,17,1,0,0,2,0,0,0
12/27/2012,1,3,1,0,9,1,1,0,1,1,0,1
12/28/2012,0,1,0,1,0,0,0,0,0,0,0,1
12/29/2012,1,3,0,0,0,0,3,0,1,0,0,0
12/30/2012,0,2,1,0,0,0,0,0,0,0,0,2
12/31/2012,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2013,2,1,0,0,0,0,0,0,0,0,0,0
1/2/2013,1,0,0,0,0,0,0,0,0,0,0,1
1/3/2013,6,0,0,0,1,0,0,0,1,0,0,3
1/4/2013,3,0,1,0,0,0,0,0,0,0,0,0
1/5/2013,1,0,1,0,0,0,0,0,0,0,0,0
1/6/2013,1,0,0,0,0,0,0,0,0,0,0,0
1/7/2013,1,0,0,0,0,0,0,0,0,0,0,2
1/8/2013,1,0,0,0,0,0,0,0,0,0,0,0
1/9/2013,3,0,0,0,0,0,0,0,0,1,0,2
1/10/2013,1,0,0,0,0,0,0,0,0,1,0,0
1/11/2013,2,0,2,0,2,0,0,0,0,1,0,1
1/12/2013,0,0,0,3,3,0,0,0,0,0,0,0
1/13/2013,1,3,0,3,0,0,1,0,0,1,0,0
1/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2013,5,0,2,0,0,0,0,0,4,0,0,3
1/16/2013,1,0,0,0,2,0,0,0,0,0,0,1
1/17/2013,0,0,0,0,0,0,0,2,0,0,0,2
1/18/2013,0,1,0,0,0,1,0,0,0,1,0,0
1/19/2013,0,0,0,0,1,0,0,0,0,0,0,1
1/20/2013,0,0,0,0,2,0,0,0,0,0,0,0
1/21/2013,0,1,0,0,0,0,0,0,0,0,0,2
1/22/2013,0,0,0,0,1,0,0,0,0,1,0,2
1/23/2013,0,0,0,0,0,1,0,0,0,0,0,0
1/24/2013,3,0,0,0,0,0,0,0,2,0,0,1
1/25/2013,0,0,0,1,6,0,0,0,1,0,0,5
1/26/2013,1,0,1,3,2,0,0,0,0,0,0,1
1/27/2013,3,0,0,0,0,3,0,0,1,1,0,4
1/28/2013,1,0,1,0,6,1,0,1,3,0,0,1
1/29/2013,3,0,0,0,1,0,0,0,0,0,0,1
1/30/2013,4,0,1,7,8,1,1,2,5,3,0,1
1/31/2013,4,0,1,1,6,1,1,2,2,1,0,1
2/1/2013,1,0,0,0,0,0,0,0,0,0,0,1
2/2/2013,0,0,0,0,0,1,1,0,1,0,0,0
2/3/2013,0,0,0,1,3,0,0,0,0,1,0,0
2/4/2013,0,0,1,0,3,0,0,0,0,0,0,0
2/5/2013,0,2,0,0,2,0,0,0,1,0,0,0
2/6/2013,0,0,0,1,1,0,0,0,0,0,0,0
2/7/2013,0,0,0,0,0,3,0,0,0,0,1,4
2/8/2013,27,32,7,13,32,5,47,8,55,19,13,98
2/9/2013,4,16,1,7,19,1,4,0,16,0,1,19
2/10/2013,0,1,0,0,2,2,1,0,1,0,0,4
2/11/2013,0,2,1,6,8,2,0,0,0,3,0,2
2/12/2013,0,0,0,0,3,0,0,0,0,0,0,1
2/13/2013,0,0,1,1,2,0,0,0,0,0,0,1
2/14/2013,0,0,1,0,0,0,0,0,0,0,0,1
2/15/2013,0,0,0,0,0,0,0,0,0,0,0,1
2/16/2013,0,0,0,0,0,0,0,0,0,0,0,1
2/17/2013,0,1,0,0,0,0,0,0,0,0,0,0
2/18/2013,0,0,0,0,0,0,0,0,0,0,0,1
2/19/2013,0,0,0,1,1,2,0,0,0,0,0,0
2/20/2013,0,0,0,0,1,0,0,0,0,0,0,1
2/21/2013,3,0,0,0,1,1,0,0,1,1,0,1
2/22/2013,1,1,0,0,0,2,0,0,0,3,0,0
2/23/2013,0,1,0,0,0,0,0,0,0,0,0,0
2/24/2013,0,1,1,0,0,0,0,0,0,0,0,1
2/25/2013,0,0,1,1,1,0,0,0,0,1,0,0
2/26/2013,6,0,1,1,1,3,0,1,0,4,0,4
2/27/2013,0,1,1,4,8,1,1,0,1,0,1,4
2/28/2013,0,0,0,0,3,0,0,0,0,0,0,0
3/1/2013,0,0,0,0,0,2,0,0,0,0,0,0
3/2/2013,0,1,1,1,0,0,0,0,0,0,0,1
3/3/2013,1,1,0,1,0,0,0,0,0,0,1,0
3/4/2013,1,0,0,0,1,0,0,0,0,0,0,0
3/5/2013,2,0,0,0,1,1,0,0,1,5,0,7
3/6/2013,9,11,2,9,16,2,12,0,17,1,0,4
3/7/2013,5,1,0,0,13,0,0,0,2,1,0,0
3/8/2013,0,1,0,6,20,4,0,2,5,2,0,8
3/9/2013,0,0,0,0,1,0,0,0,0,0,0,2
3/10/2013,0,0,0,0,0,1,1,0,0,0,0,2
3/11/2013,0,0,0,0,1,0,0,0,1,0,0,0
3/12/2013,0,0,0,4,10,0,0,0,0,0,0,0
3/13/2013,1,0,0,1,1,0,0,0,0,0,0,0
3/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
3/15/2013,0,0,0,0,1,0,0,0,0,0,0,1
3/16/2013,0,0,0,0,0,0,0,0,0,0,0,1
3/17/2013,0,0,0,0,0,0,0,0,0,1,1,0
3/18/2013,1,0,0,0,4,1,0,1,2,1,0,1
3/19/2013,0,1,0,1,2,1,1,0,3,0,0,3
3/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2013,0,0,1,1,1,0,0,0,0,0,0,1
3/22/2013,0,0,0,1,0,0,0,0,0,0,0,0
3/23/2013,0,0,0,0,0,0,0,0,0,1,0,0
3/24/2013,1,0,0,1,1,0,0,0,1,0,0,3
3/25/2013,0,1,0,3,2,1,11,0,0,0,0,2
3/26/2013,0,0,0,1,1,0,0,0,0,0,0,1
3/27/2013,0,0,0,0,1,0,0,0,0,0,0,0
3/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2013,0,0,0,0,0,0,0,0,0,0,0,2
3/30/2013,0,1,0,0,1,0,0,0,0,0,0,0
3/31/2013,0,1,0,0,0,0,0,0,0,0,0,1
4/1/2013,0,0,0,0,4,0,0,0,0,2,0,0
4/2/2013,0,0,0,0,0,0,0,0,0,0,1,0
4/3/2013,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2013,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2013,0,0,0,0,0,0,0,0,0,0,0,1
4/6/2013,0,0,0,0,0,0,0,0,0,0,1,1
4/7/2013,0,0,0,0,1,0,0,0,0,1,0,0
4/8/2013,0,0,0,1,0,1,0,0,0,2,0,2
4/9/2013,2,0,0,1,0,1,0,0,0,1,0,0
4/10/2013,7,0,0,3,11,4,0,0,2,1,0,3
4/11/2013,3,0,1,0,6,1,0,0,0,3,0,4
4/12/2013,3,0,0,3,8,2,0,0,0,1,0,1
4/13/2013,0,1,0,0,0,0,0,0,0,0,0,0
4/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
4/15/2013,1,0,0,0,0,0,0,0,1,0,0,0
4/16/2013,14,6,2,5,15,1,1,0,0,1,0,1
4/17/2013,7,2,0,1,1,3,0,0,0,4,0,3
4/18/2013,10,0,1,1,1,3,0,0,0,4,1,7
4/19/2013,0,0,0,8,12,3,0,0,0,1,1,2
4/20/2013,0,0,0,0,1,0,0,0,0,1,0,1
4/21/2013,0,0,0,0,0,0,0,0,0,0,0,2
4/22/2013,0,0,0,5,0,0,0,0,0,0,0,0
4/23/2013,0,0,0,0,7,1,0,0,0,0,0,1
4/24/2013,0,0,0,4,3,0,0,0,1,0,0,1
4/25/2013,0,0,0,0,0,0,1,0,0,0,0,0
4/26/2013,0,1,0,0,0,0,0,0,0,0,0,0
4/27/2013,0,1,0,0,1,0,0,0,0,0,0,0
4/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
4/29/2013,0,0,0,1,0,0,0,0,2,0,0,1
4/30/2013,0,0,0,0,0,0,1,0,0,0,0,0
5/1/2013,0,0,0,0,1,0,0,0,0,1,0,1
5/2/2013,0,0,0,1,0,0,0,0,0,0,0,3
5/3/2013,3,0,0,0,3,1,0,0,0,0,0,3
5/4/2013,0,0,0,0,1,0,0,0,0,0,0,0
5/5/2013,0,0,0,0,0,0,0,0,0,1,0,0
5/6/2013,0,0,0,0,0,0,0,0,0,0,0,2
5/7/2013,0,1,0,1,1,0,0,0,0,0,0,0
5/8/2013,3,0,1,4,13,1,0,0,0,1,0,1
5/9/2013,1,0,0,0,2,0,0,0,0,1,0,0
5/10/2013,1,0,0,0,0,1,0,0,0,0,0,3
5/11/2013,0,0,0,4,0,0,0,0,0,0,0,0
5/12/2013,1,0,0,0,1,0,0,0,0,0,0,0
5/13/2013,2,0,0,0,1,0,0,0,2,1,0,2
5/14/2013,0,0,0,0,0,0,0,0,0,0,0,1
5/15/2013,0,1,0,0,0,0,0,0,0,0,0,1
5/16/2013,0,0,0,0,0,0,0,0,1,0,0,1
5/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2013,0,0,0,0,0,0,0,0,0,0,0,1
5/19/2013,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2013,1,0,0,0,1,1,0,0,0,0,0,0
5/21/2013,3,0,1,0,1,0,0,0,0,1,0,1
5/22/2013,3,0,0,0,1,2,0,0,0,0,0,1
5/23/2013,9,0,1,7,22,3,0,2,2,8,0,23
5/24/2013,0,0,1,1,1,0,0,0,0,1,0,1
5/25/2013,0,0,0,0,0,0,0,0,0,0,0,0
5/26/2013,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
