Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
6/20/2010,1,0,0,1,1,0,1,0,3,1,0,0
6/21/2010,1,1,2,0,2,1,0,0,3,2,0,0
6/22/2010,0,0,2,0,2,0,1,1,1,1,0,0
6/23/2010,12,0,2,1,2,2,0,2,3,3,0,2
6/24/2010,1,1,0,2,1,0,0,1,4,0,0,0
6/25/2010,0,0,0,1,0,0,0,1,1,0,0,1
6/26/2010,2,0,0,0,0,0,1,1,0,1,0,0
6/27/2010,2,0,0,0,0,0,1,2,1,1,0,0
6/28/2010,1,1,2,1,1,0,0,1,3,1,0,0
6/29/2010,0,2,0,1,0,0,0,0,0,0,0,0
6/30/2010,1,1,0,0,0,0,0,1,5,0,0,0
7/1/2010,0,0,0,0,2,0,0,1,1,0,0,0
7/2/2010,1,0,0,0,0,0,1,0,3,0,0,0
7/3/2010,2,0,0,0,0,0,0,0,0,0,0,0
7/4/2010,0,0,0,0,0,0,0,0,0,0,0,0
7/5/2010,1,0,0,0,0,0,0,0,2,0,0,0
7/6/2010,1,0,0,0,2,0,0,1,4,0,0,0
7/7/2010,0,0,0,0,5,1,0,1,1,0,0,1
7/8/2010,1,1,0,0,0,0,1,0,2,0,0,0
7/9/2010,0,0,0,0,5,0,0,2,7,1,0,0
7/10/2010,1,0,2,1,0,0,0,0,7,0,0,1
7/11/2010,0,0,0,0,1,0,1,0,0,0,0,0
7/12/2010,1,1,0,2,3,1,0,1,7,0,0,1
7/13/2010,13,1,3,11,14,2,5,7,24,4,0,1
7/14/2010,0,0,0,3,1,1,0,3,5,0,0,1
7/15/2010,2,0,0,0,1,0,0,1,4,1,0,0
7/16/2010,0,0,0,1,0,0,0,1,4,1,0,0
7/17/2010,0,1,0,1,1,0,0,2,4,1,0,0
7/18/2010,0,0,1,0,0,0,2,1,3,0,0,0
7/19/2010,0,1,0,8,4,1,4,2,15,0,0,0
7/20/2010,0,0,1,5,2,0,2,1,3,1,0,0
7/21/2010,0,0,1,1,3,0,0,0,2,0,0,1
7/22/2010,0,0,1,1,2,0,1,2,5,1,1,0
7/23/2010,0,0,1,0,6,1,0,2,6,2,0,1
7/24/2010,2,2,1,1,1,0,0,0,2,1,0,2
7/25/2010,1,0,0,4,5,0,1,4,9,0,0,0
7/26/2010,0,0,0,0,2,0,1,0,4,0,0,0
7/27/2010,1,0,0,0,0,0,1,2,2,0,0,2
7/28/2010,0,1,0,0,0,0,1,0,3,1,0,1
7/29/2010,0,2,0,5,3,0,0,1,12,2,0,0
7/30/2010,0,0,0,0,0,0,0,0,1,1,0,0
7/31/2010,0,0,1,0,0,0,0,2,0,1,0,0
8/1/2010,0,0,0,0,1,0,0,1,4,0,0,0
8/2/2010,0,0,0,1,0,0,1,0,1,0,0,0
8/3/2010,0,1,0,0,1,0,0,1,4,0,0,0
8/4/2010,1,1,0,0,0,0,0,0,1,0,0,1
8/5/2010,1,0,1,3,3,0,5,3,10,1,0,0
8/6/2010,1,0,0,0,1,0,1,0,3,1,0,1
8/7/2010,0,0,0,0,0,0,0,0,1,1,0,0
8/8/2010,3,0,1,1,1,0,0,0,1,1,0,0
8/9/2010,0,0,0,0,0,0,0,0,0,1,0,0
8/10/2010,1,0,0,0,0,1,0,1,3,0,0,0
8/11/2010,1,0,0,0,0,1,2,0,3,1,0,1
8/12/2010,0,1,0,2,2,0,2,1,4,0,0,0
8/13/2010,0,1,0,0,1,0,1,1,2,0,0,0
8/14/2010,1,0,0,0,0,0,0,0,0,0,0,1
8/15/2010,0,0,0,0,0,0,1,2,0,0,0,0
8/16/2010,1,0,0,0,0,1,2,1,6,0,0,1
8/17/2010,1,0,0,0,1,0,0,0,1,1,0,0
8/18/2010,0,0,0,0,2,0,0,1,3,0,0,1
8/19/2010,0,1,0,0,0,0,0,0,2,0,0,0
8/20/2010,0,1,0,0,1,0,0,0,3,1,0,0
8/21/2010,0,2,0,0,0,0,1,0,0,1,0,0
8/22/2010,0,0,0,8,3,0,3,1,5,3,0,0
8/23/2010,0,3,0,3,3,0,2,1,5,1,0,0
8/24/2010,0,1,0,3,2,0,1,1,10,1,0,0
8/25/2010,1,0,0,1,6,0,0,1,6,1,0,0
8/26/2010,0,0,0,0,1,0,0,1,1,2,0,0
8/27/2010,0,0,0,0,1,0,0,0,1,0,0,0
8/28/2010,0,0,0,0,0,0,0,0,0,0,0,0
8/29/2010,0,0,0,0,0,0,0,1,2,0,0,0
8/30/2010,0,1,0,0,1,0,0,1,0,0,0,0
8/31/2010,1,0,0,1,2,0,0,0,1,0,0,0
9/1/2010,0,0,0,0,0,0,0,0,0,1,0,0
9/2/2010,0,0,0,0,1,0,1,0,2,0,0,1
9/3/2010,0,0,0,1,0,1,0,1,3,1,0,0
9/4/2010,0,0,0,0,0,0,0,0,1,0,0,0
9/5/2010,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2010,0,0,0,0,0,0,0,0,2,0,0,0
9/7/2010,0,0,0,0,0,0,0,0,1,0,0,0
9/8/2010,1,0,0,0,0,0,0,1,3,2,0,0
9/9/2010,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2010,0,0,0,0,0,0,0,1,2,0,0,0
9/11/2010,0,0,0,0,1,0,0,0,2,0,0,0
9/12/2010,0,0,0,0,0,0,0,0,0,0,0,0
9/13/2010,0,2,0,0,2,0,1,0,1,1,0,0
9/14/2010,1,0,1,0,0,0,0,0,0,0,0,0
9/15/2010,0,0,0,0,0,0,0,1,2,1,0,0
9/16/2010,0,1,0,4,4,0,0,1,2,1,0,0
9/17/2010,1,0,0,0,0,0,0,0,2,1,0,0
9/18/2010,1,0,0,0,0,0,0,0,2,0,0,0
9/19/2010,0,0,0,1,0,0,1,0,0,0,0,0
9/20/2010,0,0,0,2,1,0,0,0,3,0,0,0
9/21/2010,1,0,0,0,1,0,0,0,1,0,0,0
9/22/2010,1,1,0,2,0,0,1,0,2,2,0,0
9/23/2010,1,2,0,1,0,0,1,1,1,1,0,1
9/24/2010,0,0,0,0,0,0,0,1,3,0,0,0
9/25/2010,0,0,0,0,0,0,0,0,2,0,0,0
9/26/2010,0,0,0,0,2,0,1,1,2,0,0,0
9/27/2010,6,2,1,10,9,0,0,2,9,1,0,0
9/28/2010,1,2,0,8,6,0,1,3,9,0,0,0
9/29/2010,0,1,1,1,0,0,0,1,7,0,0,0
9/30/2010,3,1,1,11,16,1,9,2,15,2,0,0
10/1/2010,2,0,0,1,11,1,0,2,7,2,0,0
10/2/2010,0,0,0,0,0,0,0,1,1,0,0,0
10/3/2010,0,0,0,0,0,0,0,0,3,0,0,0
10/4/2010,1,0,0,0,2,1,0,2,7,1,0,0
10/5/2010,0,0,0,1,5,1,0,2,3,1,0,0
10/6/2010,0,0,1,0,0,0,0,0,2,1,0,1
10/7/2010,0,0,0,0,0,1,0,0,0,0,0,0
10/8/2010,0,0,0,0,0,0,1,0,0,0,0,0
10/9/2010,0,0,0,0,0,0,0,0,1,0,0,0
10/10/2010,0,0,0,0,1,0,0,0,0,0,0,0
10/11/2010,0,0,0,0,0,0,0,0,1,0,0,0
10/12/2010,0,0,0,0,2,0,1,0,1,1,0,0
10/13/2010,0,0,0,0,0,0,0,0,0,0,0,0
10/14/2010,0,0,0,0,0,0,0,1,3,0,0,0
10/15/2010,2,0,0,0,9,0,0,1,4,0,0,0
10/16/2010,1,0,0,1,0,0,0,0,0,0,0,0
10/17/2010,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2010,1,0,0,1,0,0,0,0,4,0,0,0
10/19/2010,0,0,1,0,2,0,0,0,1,0,0,0
10/20/2010,0,0,0,0,0,0,0,0,2,0,0,0
10/21/2010,1,0,0,0,2,0,0,0,2,1,0,0
10/22/2010,1,0,0,0,0,0,0,0,1,0,0,0
10/23/2010,2,0,1,0,0,0,0,0,0,0,0,0
10/24/2010,0,1,0,0,0,0,0,0,0,0,0,0
10/25/2010,0,0,0,0,0,0,1,0,5,0,0,0
10/26/2010,7,0,2,2,3,2,0,0,3,2,0,2
10/27/2010,9,4,4,9,10,3,4,4,5,0,0,1
10/28/2010,0,0,0,0,1,0,0,1,1,0,0,0
10/29/2010,0,0,0,1,1,0,0,0,1,0,0,0
10/30/2010,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2010,0,0,0,0,0,0,0,0,1,0,0,0
11/1/2010,0,0,0,0,2,0,0,1,0,0,0,0
11/2/2010,0,0,0,0,0,0,1,0,2,0,0,1
11/3/2010,1,0,1,0,0,0,0,0,2,0,0,0
11/4/2010,2,0,1,0,5,1,0,1,5,0,0,0
11/5/2010,0,0,0,0,2,0,0,0,3,0,0,0
11/6/2010,0,0,0,0,0,0,0,0,2,0,0,0
11/7/2010,0,0,0,0,0,0,0,0,0,0,0,0
11/8/2010,2,0,0,2,5,1,0,2,6,2,0,0
11/9/2010,0,0,0,0,1,0,0,1,3,0,0,0
11/10/2010,0,0,0,0,0,0,1,1,1,0,0,0
11/11/2010,0,0,0,0,0,0,0,0,1,1,0,0
11/12/2010,0,0,0,0,0,0,0,0,1,0,0,0
11/13/2010,0,0,0,0,0,0,0,0,1,0,0,0
11/14/2010,0,0,0,0,1,0,0,0,0,1,0,0
11/15/2010,0,0,0,0,0,0,1,1,2,0,0,1
11/16/2010,0,0,1,0,1,0,0,2,1,0,0,0
11/17/2010,0,0,0,0,2,0,0,1,2,0,0,0
11/18/2010,0,0,1,1,1,0,0,0,0,0,0,0
11/19/2010,0,0,0,0,1,1,0,1,0,0,0,0
11/20/2010,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2010,0,0,0,0,0,0,0,0,1,1,0,1
11/22/2010,1,0,0,0,1,1,0,1,2,1,0,0
11/23/2010,0,0,0,0,1,1,0,0,1,0,0,0
11/24/2010,0,0,0,0,0,0,0,1,5,0,0,0
11/25/2010,0,1,0,0,0,0,1,0,1,0,0,0
11/26/2010,0,0,0,0,1,0,0,0,0,0,0,0
11/27/2010,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2010,0,0,0,1,0,0,0,0,1,0,0,0
11/29/2010,0,0,0,0,0,0,0,1,2,0,0,0
11/30/2010,0,0,0,0,3,2,0,2,0,0,0,0
12/1/2010,17,2,6,14,25,2,6,6,31,5,0,1
12/2/2010,0,0,0,0,2,0,2,0,2,0,0,0
12/3/2010,0,0,0,0,1,0,1,0,1,1,0,0
12/4/2010,2,0,2,0,1,0,0,0,0,0,0,0
12/5/2010,1,0,0,0,2,0,0,0,0,0,0,0
12/6/2010,0,0,0,0,6,0,0,1,3,1,0,0
12/7/2010,1,0,0,1,3,0,0,0,1,1,0,1
12/8/2010,0,0,1,0,0,0,0,1,3,0,0,1
12/9/2010,0,0,0,0,0,0,0,1,1,1,0,0
12/10/2010,1,0,1,0,1,0,0,0,0,0,0,0
12/11/2010,1,0,0,1,4,0,2,1,6,0,0,0
12/12/2010,10,2,2,10,10,3,2,4,11,8,0,1
12/13/2010,0,1,0,3,5,0,2,2,5,0,0,0
12/14/2010,4,1,0,0,2,1,0,2,2,0,0,0
12/15/2010,0,0,1,0,3,1,0,2,7,0,0,0
12/16/2010,0,0,0,3,2,0,0,3,1,0,0,0
12/17/2010,0,0,0,1,2,0,0,0,4,0,0,0
12/18/2010,0,0,0,0,0,0,1,1,2,0,0,0
12/19/2010,0,0,1,2,0,0,0,1,4,0,0,0
12/20/2010,0,0,0,0,2,0,0,0,0,2,0,0
12/21/2010,0,0,0,1,2,0,0,0,2,1,0,0
12/22/2010,2,0,0,0,1,0,0,0,0,0,0,0
12/23/2010,1,0,0,0,1,0,1,0,0,0,0,0
12/24/2010,0,0,0,0,0,0,0,0,1,0,0,0
